Date,Demand,Unhedged,Hedged,Spot,Cost
2017-01-04 09:00:00,89.496283,47.496283,42,18.80100006,1738.956945
2017-01-04 10:00:00,89.414407,47.414407,42,18.80099998,1737.26719
2017-01-04 11:00:00,85.817964,43.817964,42,18.80099994,1669.354192
2017-01-04 12:00:00,91.832498,49.832498,42,18.80099996,1783.249749
2017-01-04 13:00:00,89.058763,47.058763,42,18.80099997,1730.643968
2017-01-04 14:00:00,82.6881,40.6881,42,18.80100002,1610.056692
2017-01-04 15:00:00,85.093874,43.093874,42,18.801,1655.350563
2017-01-04 16:00:00,82.259501,40.259501,42,18.80099998,1601.725862
2017-01-04 17:00:00,83.359293,41.359293,42,18.80100003,1622.484588
2017-01-04 18:00:00,80.181508,38.181508,42,18.80100003,1562.460926
2017-01-04 19:00:00,83.696768,41.696768,42,18.80100002,1628.953637
2017-01-04 20:00:00,81.360392,39.360392,42,18.80099999,1584.623881
2017-01-04 21:00:00,79.252764,37.252764,42,18.80100002,1544.758867
2017-01-04 22:00:00,76.569882,34.569882,42,18.80100001,1493.995077
2017-01-04 23:00:00,77.637739,35.637739,42,18.80099996,1514.556117
2017-01-05 00:00:00,80.003489,38.003489,42,18.80100003,1559.336715
2017-01-05 01:00:00,78.992426,36.992426,42,18.80099998,1540.146585
2017-01-05 02:00:00,83.524885,41.524885,42,18.80099998,1625.939205
2017-01-05 03:00:00,79.5407,37.5407,42,18.80100005,1550.425212
2017-01-05 04:00:00,92.342956,50.342956,42,18.80100003,1791.882081
2017-01-05 05:00:00,96.2586,54.2586,42,18.80099999,1865.800592
2017-01-05 06:00:00,102.83892,60.83892,42,18.87199997,1995.822745
2017-01-05 07:00:00,107.359514,65.359514,42,18.87199999,2082.243032
2017-01-05 08:00:00,99.290461,57.290461,42,18.87199998,1928.841772
2017-01-05 09:00:00,102.437963,60.437963,42,18.87199999,1988.953717
2017-01-05 10:00:00,99.334399,57.334399,42,18.87199997,1929.40317
2017-01-05 11:00:00,91.159162,49.159162,42,18.87199999,1774.017729
2017-01-05 12:00:00,90.309213,48.309213,42,18.87199996,1757.930361
2017-01-05 13:00:00,87.127707,45.127707,42,18.87200002,1697.426554
2017-01-05 14:00:00,84.326148,42.326148,42,18.87200003,1644.081061
2017-01-05 15:00:00,100.796546,58.796546,42,18.87200002,1957.240397
2017-01-05 16:00:00,91.840319,49.840319,42,18.87200003,1786.681201
2017-01-05 17:00:00,99.726814,57.726814,42,18.87199999,1936.933695
2017-01-05 18:00:00,96.124525,54.124525,42,18.87200001,1868.004414
2017-01-05 19:00:00,97.782179,55.782179,42,18.87199999,1899.895121
2017-01-05 20:00:00,99.805926,57.805926,42,18.87200004,1938.629898
2017-01-05 21:00:00,96.193102,54.193102,42,18.87199998,1869.703986
2017-01-05 22:00:00,96.701581,54.701581,42,18.87200003,1879.429372
2017-01-05 23:00:00,93.79425,51.79425,42,18.87200001,1824.118504
2017-01-06 00:00:00,102.388921,60.388921,42,18.87200001,1987.905607
2017-01-06 01:00:00,97.147722,55.147722,42,18.87199999,1888.110021
2017-01-06 02:00:00,103.135006,61.135006,42,18.87199999,2002.136044
2017-01-06 03:00:00,103.009357,61.009357,42,18.87200002,1999.631214
2017-01-06 04:00:00,108.555489,66.555489,42,18.87199999,2104.222226
2017-01-06 05:00:00,113.818054,71.818054,42,18.87200003,2204.18492
2017-01-06 06:00:00,119.743968,77.743968,42,19.16266664,2338.002554
2017-01-06 07:00:00,118.605341,76.605341,42,19.16266664,2315.877431
2017-01-06 08:00:00,118.399387,76.399387,42,19.16266669,2312.29909
2017-01-06 09:00:00,119.762531,77.762531,42,19.16266669,2339.065137
2017-01-06 10:00:00,121.161234,79.161234,42,19.16266666,2364.834465
2017-01-06 11:00:00,111.856364,69.856364,42,19.16266669,2186.129244
2017-01-06 12:00:00,110.09276,68.09276,42,19.16266666,2152.307538
2017-01-06 13:00:00,103.571698,61.571698,42,19.16266666,2026.409315
2017-01-06 14:00:00,101.652908,59.652908,42,19.16266667,1989.187662
2017-01-06 15:00:00,100.487458,58.487458,42,19.16266668,1966.75507
2017-01-06 16:00:00,106.388435,64.388435,42,19.16266668,2080.315077
2017-01-06 17:00:00,107.164944,65.164944,42,19.16266668,2095.10756
2017-01-06 18:00:00,111.532146,69.532146,42,19.16266668,2179.135069
2017-01-06 19:00:00,107.452168,65.452168,42,19.16266669,2100.342914
2017-01-06 20:00:00,109.023814,67.023814,42,19.16266669,2130.731789
2017-01-06 21:00:00,105.057585,63.057585,42,19.16266665,2054.053811
2017-01-06 22:00:00,108.262178,66.262178,42,19.16266667,2115.891704
2017-01-06 23:00:00,99.002855,57.002855,42,19.16266665,1937.148945
2017-01-07 00:00:00,100.702422,58.702422,42,19.16266666,1970.026196
2017-01-07 01:00:00,111.505312,69.505312,42,19.16266666,2178.449598
2017-01-07 02:00:00,108.584538,66.584538,42,19.16266669,2121.992554
2017-01-07 03:00:00,102.573324,60.573324,42,19.16266668,2005.798675
2017-01-07 04:00:00,108.479743,66.479743,42,19.16266666,2119.91998
2017-01-07 05:00:00,104.880535,62.880535,42,19.16266666,2050.157934
2017-01-07 06:00:00,107.10083,65.10083,42,18.90433336,2077.456236
2017-01-07 07:00:00,104.154951,62.154951,42,18.90433333,2021.417978
2017-01-07 08:00:00,110.70138,68.70138,42,18.90433333,2146.438523
2017-01-07 09:00:00,108.090176,66.090176,42,18.90433336,2096.67089
2017-01-07 10:00:00,105.428315,63.428315,42,18.90433333,2046.104335
2017-01-07 11:00:00,100.477961,58.477961,42,18.9043333,1952.279738
2017-01-07 12:00:00,98.960219,56.960219,42,18.90433333,1923.951584
2017-01-07 13:00:00,92.620159,50.620159,42,18.90433333,1803.33038
2017-01-07 14:00:00,87.408027,45.408027,42,18.90433335,1703.832656
2017-01-07 15:00:00,88.034476,46.034476,42,18.90433336,1715.842006
2017-01-07 16:00:00,84.73502,42.73502,42,18.90433332,1653.003223
2017-01-07 17:00:00,85.107824,43.107824,42,18.90433334,1660.151277
2017-01-07 18:00:00,85.484945,43.484945,42,18.9043333,1667.566987
2017-01-07 19:00:00,88.104755,46.104755,42,18.90433332,1717.668772
2017-01-07 20:00:00,80.89569,38.89569,42,18.90433338,1580.761275
2017-01-07 21:00:00,85.690063,43.690063,42,18.90433334,1672.060367
2017-01-07 22:00:00,83.207351,41.207351,42,18.90433336,1624.502256
2017-01-07 23:00:00,80.011706,38.011706,42,18.90433333,1563.792547
2017-01-08 00:00:00,80.968826,38.968826,42,18.90433331,1582.344288
2017-01-08 01:00:00,81.046021,39.046021,42,18.90433335,1583.729703
2017-01-08 02:00:00,78.402895,36.402895,42,18.90433336,1533.302519
2017-01-08 03:00:00,80.417641,38.417641,42,18.90433326,1571.802658
2017-01-08 04:00:00,80.267186,38.267186,42,18.90433327,1568.920697
2017-01-08 05:00:00,77.314646,35.314646,42,18.90433337,1512.29368
2017-01-08 06:00:00,80.844778,38.844778,42,18.88466674,1579.257546
2017-01-08 07:00:00,77.424928,35.424928,42,18.88466666,1514.304129
2017-01-08 08:00:00,80.159157,38.159157,42,18.8846667,1566.181436
2017-01-08 09:00:00,76.738891,34.738891,42,18.88466669,1501.055555
2017-01-08 10:00:00,72.358163,30.358163,42,18.88466665,1417.818594
2017-01-08 11:00:00,75.225003,33.225003,42,18.88466664,1472.446567
2017-01-08 12:00:00,69.532988,27.532988,42,18.88466669,1363.8652
2017-01-08 13:00:00,72.065185,30.065185,42,18.8846667,1412.171908
2017-01-08 14:00:00,68.883243,26.883243,42,18.88466668,1351.331034
2017-01-08 15:00:00,65.066793,23.066793,42,18.88466667,1278.738081
2017-01-08 16:00:00,76.490503,34.490503,42,18.8846667,1496.372826
2017-01-08 17:00:00,71.781418,29.781418,42,18.88466673,1406.747494
2017-01-08 18:00:00,73.595459,31.595459,42,18.88466669,1441.358134
2017-01-08 19:00:00,74.856269,32.856269,42,18.88466661,1465.284073
2017-01-08 20:00:00,75.239162,33.239162,42,18.88466668,1472.34475
2017-01-08 21:00:00,76.548244,34.548244,42,18.88466665,1497.449595
2017-01-08 22:00:00,80.370978,38.370978,42,18.88466673,1569.967316
2017-01-08 23:00:00,80.058098,38.058098,42,18.88466665,1563.850406
2017-01-09 00:00:00,79.418723,37.418723,42,18.88466666,1551.660903
2017-01-09 01:00:00,77.511325,35.511325,42,18.88466671,1515.568058
2017-01-09 02:00:00,84.059645,42.059645,42,18.8846667,1640.041061
2017-01-09 03:00:00,78.756583,36.756583,42,18.8846667,1538.428181
2017-01-09 04:00:00,90.975127,48.975127,42,18.88466666,1770.59759
2017-01-09 05:00:00,89.531861,47.531861,42,18.88466662,1743.281696
2017-01-09 06:00:00,97.964869,55.964869,42,18.98333331,1909.634666
2017-01-09 07:00:00,103.571738,61.571738,42,18.98333332,2017.06976
2017-01-09 08:00:00,98.947652,56.947652,42,18.98333333,1928.799316
2017-01-09 09:00:00,101.31677,59.31677,42,18.98333335,1974.145084
2017-01-09 10:00:00,100.072612,58.072612,42,18.98333329,1950.397378
2017-01-09 11:00:00,96.383206,54.383206,42,18.98333332,1879.936215
2017-01-09 12:00:00,94.370659,52.370659,42,18.98333334,1841.361087
2017-01-09 13:00:00,90.834358,48.834358,42,18.98333331,1773.033909
2017-01-09 14:00:00,90.021352,48.021352,42,18.98333332,1757.17364
2017-01-09 15:00:00,93.985795,51.985795,42,18.98333332,1833.521217
2017-01-09 16:00:00,92.015228,50.015228,42,18.98333337,1795.792252
2017-01-09 17:00:00,92.007579,50.007579,42,18.98333336,1795.722131
2017-01-09 18:00:00,92.443983,50.443983,42,18.98333331,1803.637266
2017-01-09 19:00:00,91.090411,49.090411,42,18.98333336,1777.860416
2017-01-09 20:00:00,91.108519,49.108519,42,18.98333334,1778.174287
2017-01-09 21:00:00,86.809771,44.809771,42,18.98333334,1695.791486
2017-01-09 22:00:00,81.964915,39.964915,42,18.98333331,1603.314459
2017-01-09 23:00:00,80.162776,38.162776,42,18.98333338,1569.708234
2017-01-10 00:00:00,82.369881,40.369881,42,18.98333334,1612.049804
2017-01-10 01:00:00,83.106979,41.106979,42,18.98333334,1626.052186
2017-01-10 02:00:00,82.355772,40.355772,42,18.98333334,1611.558675
2017-01-10 03:00:00,84.770829,42.770829,42,18.98333331,1657.772895
2017-01-10 04:00:00,88.0835,46.0835,42,18.98333329,1721.010673
2017-01-10 05:00:00,96.090195,54.090195,42,18.98333335,1873.814287
2017-01-10 06:00:00,101.105427,59.105427,42,19.16133334,1984.157222
2017-01-10 07:00:00,101.208289,59.208289,42,19.16133333,1986.119821
2017-01-10 08:00:00,101.215562,59.215562,42,19.16133334,1985.950645
2017-01-10 09:00:00,95.917672,53.917672,42,19.16133332,1883.177637
2017-01-10 10:00:00,92.409793,50.409793,42,19.16133334,1815.432385
2017-01-10 11:00:00,92.907849,50.907849,42,19.16133334,1825.212641
2017-01-10 12:00:00,88.39608,46.39608,42,19.16133332,1737.710578
2017-01-10 13:00:00,91.331455,49.331455,42,19.16133333,1794.360504
2017-01-10 14:00:00,86.603712,44.603712,42,19.16133331,1702.132211
2017-01-10 15:00:00,92.347481,50.347481,42,19.16133334,1813.403282
2017-01-10 16:00:00,93.971393,51.971393,42,19.1613333,1844.570244
2017-01-10 17:00:00,91.520461,49.520461,42,19.16133336,1796.561766
2017-01-10 18:00:00,88.816179,46.816179,42,19.16133333,1743.388705
2017-01-10 19:00:00,95.005405,53.005405,42,19.16133334,1863.659149
2017-01-10 20:00:00,90.595824,48.595824,42,19.16133332,1778.140968
2017-01-10 21:00:00,91.365141,49.365141,42,19.16133332,1793.20801
2017-01-10 22:00:00,81.984287,39.984287,42,19.16133335,1611.341113
2017-01-10 23:00:00,86.477813,44.477813,42,19.16133335,1699.03755
2017-01-11 00:00:00,82.515644,40.515644,42,19.16133335,1622.382984
2017-01-11 01:00:00,82.478322,40.478322,42,19.16133333,1621.642048
2017-01-11 02:00:00,87.374256,45.374256,42,19.16133331,1716.889534
2017-01-11 03:00:00,80.28287,38.28287,42,19.16133337,1579.256965
2017-01-11 04:00:00,94.224974,52.224974,42,19.16133329,1849.862212
2017-01-11 05:00:00,97.798466,55.798466,42,19.16133335,1918.20661
2017-01-11 06:00:00,106.705956,64.705956,42,19.96266668,2142.68121
2017-01-11 07:00:00,102.697724,60.697724,42,19.96266667,2061.884669
2017-01-11 08:00:00,99.063367,57.063367,42,19.96266666,1989.323177
2017-01-11 09:00:00,97.096736,55.096736,42,19.96266667,1949.494505
2017-01-11 10:00:00,98.49713,56.49713,42,19.96266666,1978.614928
2017-01-11 11:00:00,92.680481,50.680481,42,19.96266666,1861.266775
2017-01-11 12:00:00,91.988934,49.988934,42,19.96266669,1847.411731
2017-01-11 13:00:00,83.793953,41.793953,42,19.96266667,1681.368593
