,p_ub,p_pf,p_spot,p_m1,p_m2,p_m3,p_m4,p_ip,dda_ml1,dda_ml2,mlp,rnn,lstm
2017,7.765794553627684,7.192428495618912,7.490663695910872,7.4733812424800945,7.458884429145219,7.386220537308532,7.275975535762648,7.705340773664002,7.405359136270089,7.368106282677072,7.4986631378434625,7.4986631378434625,7.4986631378434625
2018,9.170803000318505,8.101022225016688,8.813578852370657,8.521332443748598,8.584739062823461,8.594143749293268,8.324592737116811,8.13363270512,8.817287891615754,8.852326994620055,8.454498231850124,8.462134007096502,8.175399370852293
2019,7.903201472875662,6.228639060705527,6.294717586042111,6.497187663035426,7.030777901282619,7.4079015970028586,7.856648552644512,7.327534310284001,6.747319513093549,6.589998145830423,6.589355621332414,6.294717586042111,6.294717586042111
total,24.839799026821854,21.522089781341126,22.59896013432364,22.49190134926412,23.0744013932513,23.38826588360466,23.45721682552397,23.166507789068007,22.969966540979392,22.810431423127547,22.542516991025998,22.255514730982075,21.968780094737866
avg,20.655321242017585,17.896508653436666,18.79197093366046,18.702947121720726,19.187320023411793,19.448311340922473,19.505646903651673,19.263910304677122,19.10047812021404,18.967818065072095,18.745036123299748,18.506381862369896,18.26795014170895
pe,15.41536755578941,0.0,5.00355850162897,4.506121746429028,7.212643510371246,8.670980008091227,8.991352902265701,7.640605649515185,6.727398567464034,5.986136359784941,4.741301704677142,3.4077775768633827,2.075496933313624
pa,,,,,,,,,67.81234859234867,74.56479290776153,77.52590081549731,81.8189500811741,85.8812167800636
savings,-1.6732912377538476,1.6444180077268804,0.5675476547443665,0.6746064398038882,0.09210639581670677,-0.22175809453665352,-0.290709036455965,0.0,0.1965412480886144,0.35607636594046,0.6239907980420085,0.910993058085932,1.1977276943301405
