process,non_linear,sigma,run,train_size,mlp_ieo,rnn_ieo,lstm_ieo
mr,False,10,1,73,0.5739625188975319,0.3256776188312586,0.36191782278252943
mr,False,10,2,73,0.6325482098850428,0.7334511997907115,1.084096076756166
mr,False,10,3,73,0.24844442727549482,0.2633512732915309,0.6433770678664688
mr,False,10,4,73,1.0443138960813765,1.0339394453641768,0.7049438886714098
mr,False,10,5,73,0.32497489290092046,0.4567139457054261,0.36713945253632313
mr,False,10,6,73,0.8535308123582225,1.1520707237429408,0.9254796871906541
mr,False,10,7,73,0.6958152496945146,0.5229748905659581,0.7306373761584563
mr,False,10,8,73,1.016813559898093,1.087508092822482,0.7792746814752687
mr,False,10,9,73,2.4904199978583925,2.4271434331525255,2.133765770464628
mr,False,10,10,73,0.20798982566908797,0.3731613830309047,0.6178225460356792
mr,False,10,11,73,1.003643049236162,0.7574548751052073,0.7750184507910483
mr,False,10,12,73,0.7915481118431988,0.8726155830793222,0.38346694931204667
mr,False,10,13,73,1.3310739687954294,1.056407423207444,0.4018199826668586
mr,False,10,14,73,0.6403080301115878,0.6993043154727193,0.7136451738836516
mr,False,10,15,73,0.2558312545132799,0.1685196428789248,0.1685196428789248
mr,False,10,16,73,0.731208055197666,0.8878184220931667,0.7103877768947289
mr,False,10,17,73,0.9582793525599594,1.0548075521168832,1.322321640554367
mr,False,10,18,73,1.0070408468271903,0.9679885713324797,0.9747773184669581
mr,False,10,19,73,0.4268617843161274,0.15938135821162147,0.4268617843161274
mr,False,10,20,73,1.2528547911767742,1.2005788931880268,1.2895382666373354
mr,False,10,21,73,1.110192349618647,1.4776605369790636,1.4521568075221318
mr,False,10,22,73,0.3268326170988193,0.3040068337871713,0.3268326170988193
mr,False,10,23,73,1.1730548800802671,1.0985732880062211,1.0985732880062211
mr,False,10,24,73,1.023487223400742,0.8061891759832,0.9199008237012329
mr,False,10,25,73,0.9029839341449377,0.7496107377316654,0.758253105856427
mr,False,10,26,73,0.521157660383348,0.7681992284944658,0.6221108574672872
mr,False,10,27,73,0.8305591525341512,1.1450999869003595,1.2039664086541402
mr,False,10,28,73,1.2572737461864358,1.301926342303087,1.0116394748523037
mr,False,10,29,73,0.5390101511692901,0.7056535560764452,0.5753105110650047
mr,False,10,30,73,0.6634378894184885,0.5060596299540312,0.8621197322684746
mr,False,10,31,73,0.8071677189780363,0.4535648154206848,0.6184663203772844
mr,False,10,32,73,1.2820095406105154,1.027988841084312,1.084975653444421
mr,False,10,33,73,1.2812558630631934,0.9837352836506361,1.0755118024284676
mr,False,10,34,73,0.9464991155369875,0.9464991155369875,0.9464991155369875
mr,False,10,35,73,0.3990126426143967,0.23453988168080103,0.2068324093746351
mr,False,10,36,73,1.4921069516577372,0.8736674057465772,0.9241076137820206
mr,False,10,37,73,1.4619510603612624,1.1567355368737637,1.155919991503246
mr,False,10,38,73,2.7697312390057673,1.0262540561695133,1.6716692668984783
mr,False,10,39,73,0.3375566135847527,0.38416699820367695,0.38416699820367695
mr,False,10,40,73,1.2744454954484703,0.4530025487988846,1.3015475046976892
mr,False,10,41,73,0.44802535320089343,0.5606549280966587,0.5713267139874886
mr,False,10,42,73,0.633024914212246,0.7164668353118144,0.4806406455882166
mr,False,10,43,73,0.9108940761391713,0.9396087413800241,1.1180333818168213
mr,False,10,44,73,0.745400886211957,0.7031740420992506,0.5177188775507896
mr,False,10,45,73,0.7495156353187129,0.8492521829921511,0.642524596093197
mr,False,10,46,73,0.5471698257182414,0.6355793632845208,0.5073191784727046
mr,False,10,47,73,0.7198799626621198,1.0960466879996993,0.8986706462396737
