process,non_linear,sigma,run,train_size,p_spot,p_m1,ridge,lasso,mlp_seo,rnn_seo,lstm_seo,dda_ml1,dda_ml2,mlp_ieo,rnn_ieo,lstm_ieo
mr,False,10,34,73,4.539941684708266,5.369906742563272,0.5497086011803913,0.5003806541124488,0.7663105601034952,0.5497086011803913,0.8795184078220991,0.27346284683230826,0.7060544683500847,0.7461899168499434,0.768007016419601,0.9896083566173645
mr,False,10,35,25,3.901338928047809,3.7284037136639165,1.1235995587960033,0.5049315018289291,1.4923872370496918,1.42296737142037,1.485496571462318,1.0370999805786416,1.2832096870413807,1.4434493789081952,1.463287533395565,1.9384479840676174
mr,False,10,35,73,3.9013389280478235,3.728403713663917,1.1290164784881276,1.072064921790068,0.6390881542125743,1.1117278902948569,1.1290164784881276,0.6891966879145794,1.160153906507226,0.5762306581241758,0.20683240937466393,0.20683240937466393
mr,False,10,36,25,3.8409276678798197,3.3505517882286133,0.6234687785297073,0.3532554773337048,1.0724702899959806,1.4268209052595333,1.7209188016304535,0.3438722682149446,0.9338217048225118,1.2767672887480186,1.26730757510801,1.7279436329960915
mr,False,10,36,73,3.8409276678798197,3.350551788228598,0.3071549648125326,0.5766071721557092,0.5452339598196138,0.6006359832654286,0.36832892341041196,0.5114697727605906,0.230998436788174,1.1012927203467409,0.7997801929711588,1.1525882501623907
mr,False,10,37,25,4.132831380696459,4.176600274930872,1.1007963139926997,1.186766532102525,2.3907187430990287,1.1146657592745852,2.0869709654637116,1.1822944146618344,1.647010209795849,2.1735237325490973,1.566537341836222,1.844747989158625
mr,False,10,37,73,4.1328313806964445,4.176600274930872,0.5958267655461954,0.5958267655461954,1.6381811201491638,0.4947717632475974,0.8321144241072134,1.5185388197497125,1.5185388197497125,1.212046982199317,0.9606780417620673,1.212046982199317
mr,False,10,38,25,3.985768020503385,3.731192729350443,1.1542116747934397,0.8317011633992474,1.4201937555943365,1.2804075587557522,2.1841850144487345,0.8225767699158593,1.2991306839596592,2.1263035251579834,2.8187691665134866,2.8611289400245887
mr,False,10,38,73,3.985768020503385,3.731192729350443,0.9134867559987169,0.9718830953258037,1.1622571019899717,0.7261737837755905,0.9134867559987169,1.265713932055968,1.5226063021341607,1.5362224567679634,1.562831422794565,1.7229414726496195
mr,False,10,39,25,4.8428448180233366,5.13703984441616,1.6436335847027972,0.5472428541746913,1.7932913899902096,2.155699935213672,2.2467344475734214,0.21801666257592317,0.3089396023423429,1.9764343945007539,1.8086071437959679,1.8086071437959679
mr,False,10,39,73,4.842844818023321,5.137039844416144,0.36970347227859923,0.3923237217591442,0.36970347227859923,0.36970347227859923,0.3875405063416036,0.23874831617115705,0.4332962864001846,0.34840541302739586,0.41745948241683295,0.3979208801461912
mr,False,10,40,25,3.669968615215751,4.119844670554935,1.0535271386044682,0.5990156744520385,1.7237988668745554,1.060435856614744,1.473594097961182,0.8822043260648752,0.3780193138385607,0.8648481401069126,1.1481812983841768,1.4569078000011515
mr,False,10,40,73,3.669968615215751,4.1198446705549046,0.46384895867883297,0.5642724451945964,0.6371887863068889,0.5493875762944944,0.9399054473051114,0.5642724451945964,0.5179554215032691,0.769794360945994,0.44463394423672475,0.7316146525523658
mr,False,10,41,25,4.6624342187766405,4.517059237872437,1.640204322708917,1.226909778352458,1.6792574934577975,1.5928838182638978,2.1477026733595435,0.7876062141232425,3.330822358586079,1.5225858261564498,2.132942416783612,2.2548994297264073
mr,False,10,41,73,4.662434218776655,4.517059237872452,0.7694869977668712,0.5426519897203245,0.7698320494983437,0.756667739611652,0.6799733840683984,0.6112640408007121,0.38230848893132346,0.43735356731006364,0.5652339360771985,0.563086463812795
mr,False,10,42,25,3.684130729347055,3.039091514216885,0.6170443745436005,0.26977358391083067,1.012423461139668,0.8433069743402885,1.3446658431345158,0.28040113739737227,1.2506297157185966,0.5434240533734304,1.4001959571397078,2.012963919758013
mr,False,10,42,73,3.684130729347055,3.0390915142168997,0.602732762126084,0.6244734644059209,0.7774922359943548,0.2701334515854566,0.5357932507710544,0.3658189065873231,0.8876460522312027,0.434017918207077,0.6658026757025418,0.7338698648616283
mr,False,10,43,25,4.252499664501026,3.5199628660596693,0.6934700888015204,0.7003322735227474,1.0463086957055885,1.0003910111281336,1.1433519812503956,1.2896910855137682,1.484097911538695,0.891300605519865,1.3040936858068575,1.0721788552146043
mr,False,10,43,73,4.252499664501056,3.5199628660596547,0.8587176048464842,0.8587176048464842,0.8302101945135058,0.8695291723172344,0.8587176048464842,0.8124094361597443,0.8242146947309443,1.3866849372607184,0.8936060410712295,1.346493673085793
mr,False,10,44,25,5.100148042301974,5.591681993131449,0.8322957890169751,1.221715547488318,1.7044130005063676,0.9172338990742152,1.4231865366535912,1.4640003956963454,1.4640003956963454,2.214963321902937,2.158920434159768,1.9616146791865217
mr,False,10,44,73,5.10014804230199,5.591681993131465,0.6200025569071861,1.1764285763629811,1.1193685829294147,0.7265729677706269,1.2471386601774876,0.8585831607858894,0.38671592349649675,0.793175277161314,0.4445719322200529,0.44745607295012363
mr,False,10,45,25,4.142076717514076,3.8025404180594817,0.6755826498387622,0.592120616254258,1.2403634413508642,0.9275082689799614,0.7862313045923285,0.9211301103026056,1.583348445206633,2.683112011982073,2.2221053022132122,2.972511603511858
mr,False,10,45,73,4.142076717514076,3.8025404180594817,0.7198968326474666,0.5554131337671366,0.675566763009686,0.5644418668672341,0.5080094331997538,0.5853172451129021,0.93370150706,0.9826360119747428,0.9103898279354735,1.6000861972761269
mr,False,10,46,25,4.076190409113718,4.313216944181094,0.8931017035379747,1.2279886354331753,0.7838619591059744,1.0043815525946809,0.7230960524730683,1.0910751041998545,1.0910751041998545,1.3457596653854054,0.8882918619285625,0.7786933732947676
mr,False,10,46,73,4.076190409113749,4.313216944181094,0.42066012152005927,0.6028594910507005,0.538293621558438,0.42066012152005927,0.42066012152005927,0.6095564177386067,0.8636771097221827,0.753323577823885,0.8080122504821147,0.7579483214539522
mr,False,10,47,25,4.022595327094647,5.187907608379237,0.6601370472352016,0.6331007427123225,0.48261680174720184,1.3202925645926185,1.24680470004071,0.17879068357756828,1.5157189454613444,0.9450906582276904,1.3614462750230476,1.292902746979737
mr,False,10,47,73,4.022595327094676,5.187907608379237,0.6980074347917898,0.17879068357756828,0.5197900813346933,0.6331007427123225,0.4506732231709398,0.48301032896072,0.5515538570040163,1.6687573891119214,0.9557144020038993,0.8118914262898909
mr,False,10,48,25,4.860370182827908,5.626117222091288,0.5516652682900237,0.31666147135081263,1.2720903717928853,1.2000653226666804,1.574753941373308,0.51950238427912,1.5842793298646325,0.972998729373507,0.9032449637870463,1.3583531539840967
mr,False,10,48,73,4.860370182827908,5.626117222091288,0.3711043513370297,0.2757623700583792,0.6846449711636932,0.7070110241754054,0.7070110241754054,0.44465190463751525,0.8766174592970436,0.5706838845679079,0.5930499375796201,0.5706838845679079
mr,False,10,49,25,4.39948006982289,4.421154296729684,1.4288951266682985,2.225441044182006,1.3142048792334164,1.3693880107697205,1.646086853656581,3.2707498636636605,1.7838017240452937,0.7412128483432723,0.9971589596173144,1.0926714712838292
mr,False,10,49,73,4.39948006982289,4.4211542967296555,0.5326437039164582,0.41367871679681084,0.40777341740810746,0.5267384045277548,0.40777341740810746,0.667826391408099,1.0411471722015897,0.8044278913014534,1.2164165605682498,0.6175974893619016
mr,False,10,50,25,3.707095562694028,3.4927837895105887,1.221663027310313,0.4386797029961411,3.4927837895105887,3.4927837895105887,3.4927837895105887,1.538230314407977,1.5687574256086565,1.7518462096014522,1.670918041217643,2.57424159119507
mr,False,10,50,73,3.707095562694028,3.4927837895105887,0.6558548599758843,0.6052274421196561,0.9750428748425494,0.6511705020739856,0.7249300852263649,0.6052274421196561,0.6923734614957678,1.031381653109817,1.2234994928368952,1.2234994928368952
mr,False,10,51,25,3.519579124806651,3.210898960601057,1.164105601501535,0.7843640403559584,1.34424566632432,1.4380200497486433,1.1346372759136114,2.104559799312623,2.104559799312623,1.0579094594357983,1.3118228655498592,1.9149289462680064
mr,False,10,51,73,3.519579124806651,3.210898960601057,0.8639804433586584,0.7604094545662471,0.9668189516179025,1.0938826510122517,0.8713802346036793,0.8526560480206588,1.5631598653172514,0.6647920332382589,0.767464867643911,0.8990257630584793
mr,False,10,52,25,3.193934931690129,2.8207893613872175,0.6509440378996129,0.6664408273444655,0.9934467407085726,0.6835195105799918,1.0757751876655115,1.7456310961108008,0.8728475428393861,1.4711849839653983,0.989057788394662,0.8678023668426857
mr,False,10,52,73,3.193934931690129,2.8207893613872175,0.8300496038028463,0.8444630989253769,1.0319361189701959,0.7493774703168672,0.6620198413738574,0.6270797943131597,0.6270797943131597,0.9583770122358056,0.9740643629677662,1.0049544315090058
mr,False,10,53,25,4.0531253224357595,3.8349064539347144,1.1855201062659644,2.316013661906231,0.7442493768888477,0.9193434604140254,0.8998757014684772,1.2050994671585955,1.2546489951251267,0.9336726399813984,1.164927911420132,1.027989407095991
mr,False,10,53,73,4.0531253224357595,3.8349064539347144,0.6978549340067924,0.7259254134304535,0.6978549340067924,0.8028085435031399,0.8178982580022627,1.110828868417844,1.0677106993616035,0.761806656507926,0.761806656507926,0.761806656507926
mr,False,10,54,25,5.560906111563125,5.039135634026985,1.004518398809984,0.9937635323181,0.8790323135688974,0.7346497889999398,2.3604716322686885,1.191318108468756,1.3097905576852384,2.084380403384411,1.8959261746993032,3.366149661065862
mr,False,10,54,73,5.560906111563125,5.039135634026985,0.9172213971369242,0.9879069077209226,1.1371107954581678,0.9172213971369242,0.9172213971369242,0.9361697876374281,1.1395604446672125,1.1615059006265585,1.019655591818609,1.019655591818609
mr,False,10,55,25,5.230018884063343,5.545416993009921,1.4010097016266265,0.8967786194522626,1.1074335108093263,1.5229675731100802,1.2456849589965249,1.2934255622945015,1.4102347967275286,0.983825417154739,1.7710549919311263,1.787348568634856
mr,False,10,55,73,5.230018884063297,5.54541699300989,0.501808815622891,1.0822178492720353,0.45948716487938696,0.6349190776104616,0.6414231706005487,0.6901407509928953,1.9580442726888387,0.4987549721786233,0.4987549721786233,0.5868531727112747
mr,False,10,56,25,3.2506115576861903,3.841765314695494,1.2268810332118585,1.033967326818286,2.4827073140603293,1.7685356651681552,2.8793335276824292,0.4608444312954675,1.1239789228607404,1.339416920571268,1.5654667572432654,1.7100146838262849
mr,False,10,56,73,3.2506115576861903,3.841765314695494,1.0176570276308408,0.8094981278046661,0.9286242541465359,1.1805890949461793,1.0608045392693375,0.5930247164182689,1.1228524209944266,0.7901418526552045,1.0984234303978668,0.8708875801947686
mr,False,10,57,25,4.019424998937309,3.957853586231782,0.7898090260723498,0.8694328991980724,0.775880121684269,1.3831605681097876,1.2697738719739353,0.868130786836112,0.8115091801974206,0.9740395461913243,1.611408074329547,2.108986456976363
mr,False,10,57,73,4.019424998937278,3.95785358623175,0.7549328299685225,0.8262764815741018,0.5987026458444054,0.829872143315249,1.023813800477407,0.7604952806021835,0.7173388629782437,0.9810642428200937,1.0178423315844902,0.7481596744081761
mr,False,10,58,25,5.028123632368012,4.505029451146219,1.4491323052719898,0.917532631858769,1.2170028789515603,1.3434849832679228,1.2586728999027241,0.7539077491932523,0.6959657056016798,1.4238695856951595,1.8340806310228897,2.0936222083596414
mr,False,10,58,73,5.028123632367996,4.505029451146204,0.8577269090522661,0.8198841680906044,0.5835175123091934,0.8188402158865746,0.5894359906529066,0.7207425008463757,0.5200970739900762,0.8535099590206765,0.9304289220967559,0.9768765047370287
mr,False,10,59,25,5.418630547852713,4.586709430030245,0.7209263876065984,2.333032224684042,1.0778244996559456,1.2220309906695517,1.6536165190160947,1.2800648768524958,0.8047261260457224,1.3799796008353749,0.9414849090873587,0.853766627425267
mr,False,10,59,73,5.418630547852681,4.586709430030213,0.9443918378196345,1.0061680338714578,0.9443918378196345,0.8725990973880509,1.6454257719134564,0.6103773437396379,1.9322953325755867,1.3993603825472818,1.2650448505684995,1.2955631577745315
